Number,Messier number,NGC/IC number,Common name,Location,Reference Image,My Image,Object type,Distance (kly),Constellation,Apparent magnitude,Apparent dimensions (arc minutes),Right ascension,Declination,Best Date,Best Month,Best Viewing
44,M44,2632,Beehive Cluster or Praesepe,Milky Way,,,Open cluster,0.577,Cancer,3.7,95.0,08h 40.4m,+19° 59′,06-15,6,Summer
45,M45,-,"Pleiades, Seven Sisters or Subaru",Milky Way,,,Open cluster,0.39–0.46,Taurus,1.6,110.0,03h 47m 24s,+24° 07′ 00″,04-15,4,Spring
46,M46,2437,–,Milky Way,,,Open cluster,5.4,Puppis,6.0,27.0,07h 41.8m,−14° 49′,06-15,6,Summer
47,M47,2422,–,Milky Way,,,Open cluster,1.6,Puppis,5.2,30.0,07h 36.6m,−14° 30′,06-15,6,Summer
48,M48,2548,–,Milky Way,,,Open cluster,1.5,Hydra,5.5,54.0,08h 13.7m,−05° 45′,06-15,6,Summer
49,M49,4472,–,Deep Space,,,Elliptical galaxy,"53,600–58,200",Virgo,8.4,9.0,12h 29m 46.7s,+08° 00′ 02″,08-15,8,Summer
50,M50,2323,Heart-Shaped Cluster,Milky Way,,,Open cluster,3.2,Monoceros,6.3,16.0,07h 03.2m,−08° 20′,06-15,6,Summer
51,M51,5194,Whirlpool Galaxy,Deep Space,,,Spiral galaxy,"19,000–27,000",Canes Venatici,8.4,11.0,13h 29m 52.7s,+47° 11′ 43″,09-15,9,Autumn
52,M52,7654,Scorpion Cluster,Milky Way,,,Open cluster,5.0,Cassiopeia,7.3,13.0,23h 24.2m,+61° 35′,02-15,2,Winter
53,M53,5024,–,Milky Way,,,Globular cluster,58,Coma Berenices,7.6,12.6,13h 12m 55.25s,+18° 10′ 05.4″,09-15,9,Autumn
54,M54,6715,–,Deep Space,,,Globular cluster,87.4,Sagittarius,7.6,9.1,18h 55m 03.33s,−30° 28′ 47.5″,11-15,11,Autumn
55,M55,6809,Specter Cluster,Milky Way,,,Globular cluster,17.6,Sagittarius,6.3,19.0,19h 39m 59.71s,−30° 57′ 53.1″,12-15,12,Autumn
56,M56,6779,–,Milky Way,,,Globular cluster,32.9,Lyra,8.3,7.1,19h 16m 35.57s,+30° 11′ 00.5″,12-15,12,Autumn
57,M57,6720,Ring Nebula,Milky Way,,,Planetary nebula,1.6–3.8,Lyra,8.8,1.4,18h 53m 35.079s,+33° 01′ 45.03″,11-15,11,Autumn
58,M58,4579,–,Deep Space,,,Barred Spiral galaxy,"~63,000",Virgo,9.7,5.5,12h 37m 43.5s,+11° 49′ 05″,08-15,8,Summer
59,M59,4621,–,Deep Space,,,Elliptical galaxy,"55,000–65,000",Virgo,9.6,5.0,12h 42m 02.3s,+11° 38′ 49″,08-15,8,Summer
