id,catalog,messier,caldwell,ngc_ic,name,all_ids,type,mag,constellation,size_arcmin,ra_deg,dec_deg,season
NGC7424,NGC,,,NGC 7424,,NGC 7424,G,10.18,Grus,5.01,344.32654,-41.07058,Unknown
NGC7425,NGC,,,NGC 7425,,NGC 7425,G,15.22,Aquarius,0.97,344.31475,-10.95000,Autumn
NGC7426,NGC,,,NGC 7426,,NGC 7426,G,13.51,Lacerta,1.57,344.01192,36.36136,Autumn
NGC7427,NGC,,,NGC 7427,,NGC 7427,G,15.29,Pegasus,0.58,344.29133,8.50558,Autumn
NGC7428,NGC,,,NGC 7428,,NGC 7428,G,13.76,Pisces,0.91,344.33137,-1.04900,Autumn
NGC7429,NGC,,,NGC 7429,,NGC 7429,OCl,,Cepheus,4.50,344.00250,59.97386,Autumn
NGC7430,NGC,,,NGC 7430,,NGC 7430,G,15.08,Pegasus,0.60,344.37383,8.79431,Autumn
NGC7431,NGC,,,NGC 7431,,NGC 7431,G,15.45,Pegasus,0.26,344.41121,26.16431,Autumn
NGC7432,NGC,,,NGC 7432,,NGC 7432,G,14.81,Pegasus,1.57,344.50808,13.13450,Autumn
NGC7433,NGC,,,NGC 7433,,NGC 7433,G,15.55,Pegasus,0.78,344.46546,26.16217,Autumn
NGC7434,NGC,,,NGC 7434,,NGC 7434,G,15.19,Pisces,0.61,344.58937,-1.18394,Autumn
NGC7435,NGC,,,NGC 7435,,NGC 7435,G,15.43,Pegasus,1.31,344.47696,26.13886,Autumn
NGC7436,NGC,,,NGC 7436,,NGC 7436,GPair,,Pegasus,1.20,344.48708,26.15000,Autumn
NGC7436A,NGC,,,NGC 7436A,,NGC 7436A,G,15,Pegasus,0.72,344.48404,26.14997,Autumn
NGC7436B,NGC,,,NGC 7436B,,NGC 7436B,G,13.9,Pegasus,1.95,344.48975,26.14994,Autumn
NGC7437,NGC,,,NGC 7437,,NGC 7437,G,13.95,Pegasus,1.71,344.54192,14.30850,Autumn
NGC7438,NGC,,,NGC 7438,,NGC 7438,OCl,,Cassiopeia,5.70,344.33488,54.30931,Autumn
NGC7439,NGC,,,NGC 7439,,NGC 7439,G,15.08,Pegasus,1.03,344.54150,29.22842,Autumn
NGC7440,NGC,,,NGC 7440,,NGC 7440,G,13.51,Andromeda,1.16,344.63558,35.80242,Autumn
NGC7441,NGC,,,NGC 7441,,"NGC 7441,IC 1458",G,14.31,Aquarius,1.29,344.17242,-7.37906,Autumn
NGC7442,NGC,,,NGC 7442,,NGC 7442,G,14.15,Pegasus,1.01,344.86063,15.54839,Autumn
NGC7443,NGC,,,NGC 7443,,NGC 7443,G,12.91,Aquarius,1.73,345.03688,-12.80789,Autumn
NGC7444,NGC,,,NGC 7444,,NGC 7444,G,12.82,Aquarius,1.45,345.03733,-12.83428,Autumn
NGC7445,NGC,,,NGC 7445,,NGC 7445,G,15.58,Andromeda,0.67,344.84350,39.10753,Autumn
NGC7446,NGC,,,NGC 7446,,NGC 7446,G,15.44,Andromeda,1.26,344.87083,39.08289,Autumn
NGC7447,NGC,,,NGC 7447,,NGC 7447,Other,,Aquarius,,345.10867,-10.52800,Autumn
NGC7448,NGC,,,NGC 7448,,NGC 7448,G,11.69,Pegasus,2.07,345.01496,15.98033,Autumn
NGC7449,NGC,,,NGC 7449,,NGC 7449,G,15.35,Andromeda,1.02,344.90683,39.14586,Autumn
NGC7450,NGC,,,NGC 7450,,NGC 7450,G,14.33,Aquarius,1.54,345.19925,-12.91853,Autumn
NGC7451,NGC,,,NGC 7451,,NGC 7451,G,14.94,Pegasus,1.11,345.17025,8.46792,Autumn
NGC7452,NGC,,,NGC 7452,,NGC 7452,G,16.52,Pisces,0.51,345.19792,6.74553,Autumn
NGC7453,NGC,,,NGC 7453,,NGC 7453,Other,,Aquarius,,345.35587,-6.35650,Autumn
NGC7454,NGC,,,NGC 7454,,NGC 7454,G,11.86,Pegasus,1.54,345.27712,16.38836,Autumn
